bar_id,name,hitosara_url,homepage_url,title,insta_url,summary
1,バー＆カフェ　カメリア,https://hitosara.com/0006085891/,http://www.tokyostationhotel.jp/restaurants/camellia/,東京ステーションホテル The Tokyo Station Hotel,https://www.instagram.com/tokyostationhotel/,カフェ&バー カメリアもこれまでと内装を変えダークピンクが印象的な設えへ、より ... バー＆カフェ カメリアでは、丸の内シティを眺めながらゆったりとアフタヌーン ...
3,鉄板焼き&バー CRAVE,https://hitosara.com/0020006344/,,鉄板焼き&バー CRAVE (@crave0901),https://www.instagram.com/crave0901/,西新井駅東口徒歩1分ランチ 11:30〜14:30 鉄板焼き 17:00〜24:00 バー 22:00〜6:00 テイクアウト、Uber eatsもやってます！
3,鉄板焼き&バー CRAVE,https://hitosara.com/0020006344/,,SUOCCA-S2 (@suocca) • Instagram photos and videos,https://www.instagram.com/suocca/,煙草が吸える飲食店を掲載しているWEBメディア【SUOCCA】の編集部です♪ 今日は西新井の【鉄板焼き&バー CRAVE】をご紹介します！ ・基本情報住所 ...
7,ザ　コークスクリュー　バー＆グリル,https://hitosara.com/0020002399/,,The CorkScrew Bar&Grill （ザ・コークスクリュー ... - Instagram,https://www.instagram.com/the_corkscrew_ootemachi/,Lunch 11:00〜15:00（LO 14:30） Dinner 17:00〜22:30（LO 21:30 / 22:00） 土日・祝日定休大手町ファーストスクエアB1階大手町 C8・C11出口駅直結. 1-5-1 大手町 ...
7,ザ　コークスクリュー　バー＆グリル,https://hitosara.com/0020002399/,,もりもりだいや (@morimoridaiya),https://www.instagram.com/morimoridaiya/,#ザコークスクリューバーアンドグリル #大手町#大人のお子様ランチ#東京#エビフライ#東京グルメ#東京ランチ#大手町グルメ#大手町ランチ#大手町ディナー#恵比寿グルメ ...
8,レストランアピシウス,https://hitosara.com/0006052076/,http://www.apicius.co.jp/index.html,フレンチレストランアピシウス 公式 (@apicius_tokyo),https://www.instagram.com/apicius_tokyo/,フレンチレストラン「アピシウス」は、1983年4月に有楽町・蚕糸会館にて創業。店名は、古代ローマ時代の令名高き食通であり、世界最古の料理書と言われる「料理大全」 ...
11,Cafe & Bar Lounge Celecroix/ホテル ザ セレスティン東京芝,https://hitosara.com/0020001942/,https://www.celestinehotels.jp/tokyo-shiba/restaurant/,hoshukuzu239 - まるこ*カフェvlog,https://www.instagram.com/hoshukuzu239/,"Cafe & Bar Lounge Celecroix 「#ホテルザセレスティン東京芝 」の一階に位置し ... 三田駅、田町駅  2,600円‪  ‬定休日：なし※定休日は全てGoogleの情報を参考にし ..."
11,Cafe & Bar Lounge Celecroix/ホテル ザ セレスティン東京芝,https://hitosara.com/0020001942/,https://www.celestinehotels.jp/tokyo-shiba/restaurant/,ひとみ🍀 (@hitomin__n) • Instagram photos and videos,https://www.instagram.com/hitomin__n/,... ホテル ザ セレスティン東京芝Cafe&Bar Lounge Celecroixさんにて。 半分にカットした大きなメロンの中にはメロンジュレやマスカルポーネアイス、クラシックプリンが ...
14,新橋シーシャ バー&ラウンジ 遊煙地 (ユウエンチ),https://hitosara.com/0004037740/,https://www.yuenchishisha.com/,新橋シーシャ バー&ラウンジ 遊煙地 (ユウエンチ) ...,https://www.instagram.com/yuenchi_shisha/,"2020 Followers, 10 Following, 21 Posts - 新橋シーシャ バー&ラウンジ 遊煙地 (ユウエンチ) (@yuenchi_shisha) on Instagram: ""煙と遊ぶ大人の遊煙地◇新橋の喧騒の ..."
15,バー カプリ,https://hitosara.com/0031074721/,http://www.newotani.co.jp/tokyo/restaurant/capri/index.html,リール動画｜おうち時間｜ホテル｜女子旅 (@satomi_3103.k),https://www.instagram.com/satomi_3103.k/,... カプリ島シリーズ＼ ⁡ が飾られていて目を惹きます⁡ 画家ポール・アイズピリが、 このバー ... 永田町駅 東京メトロ 半蔵門線 東京メトロ 南北線 7番口 3分⁡ ○ 麴町駅 東京 ...
17,theBAR,https://hitosara.com/0020006159/,https://www.the-bar.tokyo/,【theBAR｜theSOHO】夜景が綺麗なお台場の最上階バー ...,https://www.instagram.com/thebar.odaiba/,お台場のカラフルな外観が特徴的なオフィスビルtheSOHO入居者用バーの公式アカウント。最上階から美しく煌めく東京湾岸エリアの夜景をパノラマで眺められ、撮影 ...
18,INSIGNIA,https://hitosara.com/0006097202/,http://evanwilliams12.wixsite.com/insignia,bar INSIGNIA インシグニア (@bar_insignia),https://www.instagram.com/bar_insignia/,恵比寿と広尾の中間にある会員制bar。雰囲気とおもてなしを大切にしています。お客様一人ひとりのコンシェルジュのようなバーテンダーでいたいと考え、カクテルも料理 ...
19,バー リーフ,https://hitosara.com/0030000045/,,Bar Leaf(バー・リーフ) (@bar_leaf_kagurazaka),https://www.instagram.com/bar_leaf_kagurazaka/,東京・神楽坂のバー. Cocktail & whisky Bar in Tokyo 2pm - 1am Holiday:Not fixed @suntory_award 2012 @worldclass Japan 2017 global Top 10. 神楽坂2-21-9MT ...
20,wine bar vitis,https://hitosara.com/0020007818/,,武蔵小山のグルメ情報〜侍猫の気まぐれ風,https://www.instagram.com/musashikoyama.news/,グラス1杯から楽しめるカジュアルでアットホームなワインバーとの事でございます！ ワインバー ヴィティス@wine_bar_vitis 場所は、武蔵小山駅からパルム商店街を200m ...
21,神楽坂 Wine Music Bar Fuga,https://hitosara.com/0031551171/,,神楽坂 Wine Music Bar Fuga (@bar.fuga),https://www.instagram.com/bar.fuga/,＜日時＞ 3月31日（金） 19:00～22:00 （3時間程度） ＜場所＞ Bar Fuga（神楽坂） 〒162-0821 東京都新宿区津久戸町3−19 DeLCCS KAGURAZAKA B1 https://tabelog.com/tokyo/A1309/A130905/13274857/ ＜ワイン＞ 知り合い ...
23,メインバー あさま,https://hitosara.com/0031030820/,https://www.princehotels.co.jp/shintakanawa/restaurant/asama/,【公式】グランドプリンスホテル新高輪/Grand Prince Hotel ...,https://www.instagram.com/grandprincehotel_shintakanawa/,. メインバー あさまでは和柑橘の清涼感を感じるジャパニーズクラフトジン＜八つ星＞をツイストした3種のカクテルをお楽しみいただけます  ✨ 名匠村野藤吾の独創性が ...
25,BREEZE　OF　TOKYO,https://hitosara.com/0006126224/,,ブリーズオブトウキョウ【公式】BREEZE OF TOKYO ...,https://www.instagram.com/breeze_of_tokyo/,"東京駅から直結する丸ビル最上36階丸の内の景色を一望出来るフレンチグリルレストラン&バーご予約は下記のURLから承ります。 丸の内2-4-1 丸の内ビルディング36F, ..."
28,BAR　Arca,https://hitosara.com/0006146176/,,BAR Arca バーアルカ新宿本店 (@bar.arca_shinjuku),https://www.instagram.com/bar.arca_shinjuku/,"◇季節のフルーツカクテル◇ ◯カウンター・テーブル・完全個室◯ ◻︎新宿三丁目駅徒歩1分新宿駅東口徒歩6分◻︎ ❇︎日曜日営業❇︎ TEL 03-6709-9210. 新宿3-12-4熊三ビル4階, ..."
31,東京會舘 メインバー,https://hitosara.com/0031269012/,https://www.kaikan.co.jp/restaurant/mainbar/index.html,Drape「ドレープ」 (@drape_hibiya),https://www.instagram.com/drape_hibiya/,... メインバーでも人気のあった東京會舘伝統スタイルのピラフを週替わりでご提供いたし ... #東京會舘#tokyokaikan#drape#ドレープ#日比谷#有楽町#東宝日比谷プロムナード ...
33,FlyingBumblebee　フライング　バンブルビー,https://hitosara.com/0004043921/,,Flying Bumblebee (@flying_bumblebee0807),https://www.instagram.com/flying_bumblebee0807/,Flying Bumblebee 代官山から徒歩5分のバー、Flying Bumblebee（フライングバンブルビー）。地下に繋がる階段を降りると隠れ家のような空間で女性バーテンダーがお待ちして ...
36,バーラウンジ スターライト,https://hitosara.com/0031428399/,https://theokuratokyo.jp,Kitt✨🇯🇵 (@tokyo__eats) • Instagram photos and videos,https://www.instagram.com/tokyo__eats/,The Okura Hotel バーラウンジ スターライト ✨ ……………………………….. 最上階にあったことから「スターライト」と名付けられた バーラウンジ。 高層階から虎ノ門の街並みを ...
38,銀座フレンチ＆ワインバー　地球星,https://hitosara.com/0004030685/,,ginza_chikyuboshi - 銀座フレンチ＆ワインバー地球星,https://www.instagram.com/ginza_chikyuboshi/,・こちらが本垢です！ ・火曜日～土曜日 ランチ 11:30~15:00 ディナー18:00~23:00 ・日曜日 ランチ 11:30~15:00 ・定休日 月曜日 #銀座フレンチ#銀座記念日 #銀座ディナー
43,LOW-NON-BAR,https://hitosara.com/0006136865/,https://cocktailworks001.wixsite.com/lownonbar,LOW-NON-BAR <モクテル&ローアルコールバー ... - Instagram,https://www.instagram.com/low_non_bar/,ノンアルコール&ローアルコールBAR ... OPEN 平日1700-2300 土日祝1400-2300 ... 中の人→@low_non_takahashi ... 千代田区神田須田町1-25-4 マーチエキュート神田万世橋S10
45,WineBar Pluribus,https://hitosara.com/0020006274/,https://winebarpluribus.net,WineBar Pluribus (@winebarpluribus),https://www.instagram.com/winebarpluribus/,"世界中のワインを""グラス1杯""から注文できる東京 / 銀座(Ginza) 「ワインの魅力をもっと伝えたい」という想いから生まれたWine Bar 平日 17時-23時(月曜定休) 土日 15時-23 ..."
47,ブルーノート東京,https://hitosara.com/0006108899/,http://www.bluenote.co.jp/jp/,ブルーノート東京 (@bluenotetokyo),https://www.instagram.com/bluenotetokyo/,南青山にあるジャズクラブ/ライブレストラン、ブルーノート東京のオフィシャルアカウントです。 www.bluenote.co.jp.
48,Bar Lumiere 恵比寿 Whisky＆Cocktail,https://hitosara.com/0031306550/,,BarLumiere 恵比寿 〜whisky&cocktail〜 (@bar_lumiere),https://www.instagram.com/bar_lumiere/,恵比寿駅から徒歩1分。 シャンデリアの優しい「灯り」に包まれる… 非日常なラグジュアリーBAR。 2016年8月〜OPEN(๑˃̵ᴗ˂̵)。 2号店田町. Bar Reveur @barreveur
56,Ironbark Grill & Bar (アイアンバーク グリルアンドバー),https://hitosara.com/0006101740/,http://ginza6.tokyo/shops/1221,Ironbark Grill & Bar アイアンバーク (@ironbarkg6) - Instagram,https://www.instagram.com/ironbarkg6/,Ironbark Grill & Barで極上の料理と雰囲気をお楽しみください。 Savor the essence of Australia in a luxurious setting. Indulge in exquisite cuisine and ambiance at ...
60,バーバー バー カリンバー,https://hitosara.com/0031356914/,,坂井 宗民 (@teamster_sohmin),https://www.instagram.com/teamster_sohmin/,台子のお稽古無事終了‼️ お決まりの如く先ずは1日目の一人打ち上げ     お稽古場近くでは宿が取れず本日の宿は赤羽。 ... bunさんのお店   「バーバーバーカリンバ」 ご両親 ...
61,BAR　木蓮,https://hitosara.com/0006134641/,,BAR 木蓮 (@barmokuren) • Instagram photos and videos,https://www.instagram.com/barmokuren/,渋谷区幡ヶ谷にあるバーです。スコッチウイスキーとカクテルのお店です。オールドボトル色々あります。犬がいます。18時オープン、水曜定休です。
64,BAR ALMON,https://hitosara.com/0031539889/,,BAR ALMON (バーアルモン) (@bar_almon_nishiazabu),https://www.instagram.com/bar_almon_nishiazabu/,東京カレンダー掲載の西麻布No.1デートスポット  インスタ特典でカラオケ付きVVIP会員制個室の入会金が今だけ割引き‼️(通常5万円) ⏱️月 - 金8pm - 5am土日祝7pm Start
65,Bar　Silver　Hearts,https://hitosara.com/0006023808/,,Punch Room (@punchroomedition),https://www.instagram.com/punchroomedition/,"Cocktails and conversations made to share around the world: London, Shanghai, Barcelona, Madrid, Tampa, Rome, Singapore & Ginza #PunchRoom."
