『	記号,括弧開,*,*,*,*,『,『,『
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
挙げ	動詞,自立,*,*,一段,未然形,挙げる,アゲ,アゲ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
今回	名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
安達ツギ	名詞,固有名詞,人名,一般,*,*,安達ツギ,アダチツギ,アダチツギ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
芸者	名詞,一般,*,*,*,*,芸者,ゲイシャ,ゲイシャ
日本一	名詞,一般,*,*,*,*,日本一,ニッポンイチ,ニッポンイチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決める	動詞,自立,*,*,一段,基本形,決める,キメル,キメル
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
大いに	副詞,一般,*,*,*,*,大いに,オオイニ,オーイニ
注目	名詞,サ変接続,*,*,*,*,注目,チュウモク,チューモク
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
髪	名詞,一般,*,*,*,*,髪,カミ,カミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
結わ	動詞,自立,*,*,五段・ワ行促音便,未然形,結う,ユワ,ユワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
まま	名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
人前	名詞,一般,*,*,*,*,人前,ヒトマエ,ヒトマエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ありえ	動詞,自立,*,*,一段,未然形,ありえる,アリエ,アリエ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
、	記号,読点,*,*,*,*,、,、,、
まさかの	連体詞,*,*,*,*,*,まさかの,マサカノ,マサカノ
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
コンテスト	名詞,一般,*,*,*,*,コンテスト,コンテスト,コンテスト
会場	名詞,一般,*,*,*,*,会場,カイジョウ,カイジョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向かい	動詞,自立,*,*,五段・ワ行促音便,連用形,向かう,ムカイ,ムカイ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
美貌	名詞,一般,*,*,*,*,美貌,ビボウ,ビボー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
大胆	名詞,形容動詞語幹,*,*,*,*,大胆,ダイタン,ダイタン
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
優勝者	名詞,固有名詞,一般,*,*,*,優勝者,ユウショウシャ,ユーショーシャ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
話題	名詞,一般,*,*,*,*,話題,ワダイ,ワダイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
さらっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,さらう,サラッ,サラッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「	記号,括弧開,*,*,*,*,「,「,「
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
」	記号,括弧閉,*,*,*,*,」,」,」
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
安達ツギ	名詞,固有名詞,人名,一般,*,*,安達ツギ,アダチツギ,アダチツギ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いこ	動詞,非自立,*,*,五段・カ行促音便,未然ウ接続,いく,イコ,イコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
目次	名詞,一般,*,*,*,*,目次,モクジ,モクジ
安達ツギ	名詞,固有名詞,人名,一般,*,*,安達ツギ,アダチツギ,アダチツギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生い立ち	名詞,一般,*,*,*,*,生い立ち,オイタチ,オイタチ
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,固有名詞,組織,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
一	名詞,数,*,*,*,*,一,イチ,イチ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
頭山満	名詞,固有名詞,人名,一般,*,*,頭山満,トウヤマミツル,トーヤマミツル
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
安達ツギ	名詞,固有名詞,人名,一般,*,*,安達ツギ,アダチツギ,アダチツギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生い立ち	名詞,一般,*,*,*,*,生い立ち,オイタチ,オイタチ
安達ツギ	名詞,固有名詞,人名,一般,*,*,安達ツギ,アダチツギ,アダチツギ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
長崎県	名詞,固有名詞,地域,一般,*,*,長崎県,ナガサキケン,ナガサキケン
下県郡	名詞,固有名詞,一般,*,*,*,下県郡,シモアガタグン,シモアガタグン
中村町	名詞,固有名詞,一般,*,*,*,中村町,ナカムラマチ,ナカムラマチ
（	記号,括弧開,*,*,*,*,（,（,（
現	接頭詞,名詞接続,*,*,*,*,現,ゲン,ゲン
・	記号,一般,*,*,*,*,・,・,・
対馬市	名詞,固有名詞,地域,一般,*,*,対馬市,ツシマシ,ツシマシ
）	記号,括弧閉,*,*,*,*,）,）,）
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
父親	名詞,一般,*,*,*,*,父親,チチオヤ,チチオヤ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
対馬府中藩	名詞,固有名詞,一般,*,*,*,対馬府中藩,ツシマフチュウハン,ツシマフチューハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
朝鮮	名詞,固有名詞,地域,国,*,*,朝鮮,チョウセン,チョーセン
奉行	名詞,サ変接続,*,*,*,*,奉行,ブギョウ,ブギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
務め	動詞,自立,*,*,一段,連用形,務める,ツトメ,ツトメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
土岐	名詞,固有名詞,人名,姓,*,*,土岐,トキ,トキ
守	名詞,固有名詞,人名,名,*,*,守,マモル,マモル
守道	名詞,固有名詞,地域,一般,*,*,守道,モチ,モチ
（	記号,括弧開,*,*,*,*,（,（,（
もり	動詞,自立,*,*,五段・ラ行,連用形,もる,モリ,モリ
みち	名詞,接尾,一般,*,*,*,みち,ミチ,ミチ
）	記号,括弧閉,*,*,*,*,）,）,）
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
出自	名詞,一般,*,*,*,*,出自,シュツジ,シュツジ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
武家	名詞,一般,*,*,*,*,武家,ブケ,ブケ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出	名詞,一般,*,*,*,*,出,シュツ,シュツ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ツギ	名詞,固有名詞,一般,*,*,*,ツギ,ツギ,ツギ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
文献	名詞,一般,*,*,*,*,文献,ブンケン,ブンケン
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ツキ	名詞,一般,*,*,*,*,ツキ,ツキ,ツキ
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
明治維新	名詞,固有名詞,一般,*,*,*,明治維新,メイジイシン,メイジイシン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
首都	名詞,一般,*,*,*,*,首都,シュト,シュト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
伴い	動詞,自立,*,*,五段・ワ行促音便,連用形,伴う,トモナイ,トモナイ
ツギ	名詞,固有名詞,一般,*,*,*,ツギ,ツギ,ツギ
も	助詞,係助詞,*,*,*,*,も,モ,モ
1886年	名詞,固有名詞,一般,*,*,*,1886年,センハッピャクハチジュウロクネン,センハッピャクハチジュウロクネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
上京	名詞,サ変接続,*,*,*,*,上京,ジョウキョウ,ジョーキョー
。	記号,句点,*,*,*,*,。,。,。
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
夫	名詞,一般,*,*,*,*,夫,オット,オット
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
小田	名詞,固有名詞,人名,姓,*,*,小田,オダ,オダ
貴雄	名詞,固有名詞,人名,名,*,*,貴雄,タカオ,タカオ
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
夫婦	名詞,一般,*,*,*,*,夫婦,フウフ,フーフ
養子	名詞,一般,*,*,*,*,養子,ヨウシ,ヨーシ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
小田	名詞,固有名詞,人名,姓,*,*,小田,オダ,オダ
家	名詞,接尾,一般,*,*,*,家,カ,カ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
入り	動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
、	記号,読点,*,*,*,*,、,、,、
1889年	名詞,固有名詞,一般,*,*,*,1889年,センハッピャクハチジュウキュウネン,センハッピャクハチジュウキュウネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
貴雄	名詞,固有名詞,人名,名,*,*,貴雄,タカオ,タカオ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
貴雄	名詞,固有名詞,人名,名,*,*,貴雄,タカオ,タカオ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
鳥取師範学校	名詞,固有名詞,組織,*,*,*,鳥取師範学校,トットリシハンガッコウ,トットリシハンガッコー
校長	名詞,一般,*,*,*,*,校長,コウチョウ,コーチョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
ツギ	名詞,固有名詞,一般,*,*,*,ツギ,ツギ,ツギ
も	助詞,係助詞,*,*,*,*,も,モ,モ
鳥取	名詞,固有名詞,地域,一般,*,*,鳥取,トットリ,トットリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
移住	名詞,サ変接続,*,*,*,*,移住,イジュウ,イジュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
鳥取	名詞,固有名詞,地域,一般,*,*,鳥取,トットリ,トットリ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
洋装	名詞,サ変接続,*,*,*,*,洋装,ヨウソウ,ヨーソー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
県内	名詞,一般,*,*,*,*,県内,ケンナイ,ケンナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
有名	名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
後に	副詞,一般,*,*,*,*,後に,ノチニ,ノチニ
貴雄	名詞,固有名詞,人名,名,*,*,貴雄,タカオ,タカオ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
離婚	名詞,サ変接続,*,*,*,*,離婚,リコン,リコン
。	記号,句点,*,*,*,*,。,。,。
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
戻り	動詞,自立,*,*,五段・ラ行,連用形,戻る,モドリ,モドリ
新橋	名詞,一般,*,*,*,*,新橋,シンバシ,シンバシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
ころ	名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
名	名詞,接尾,一般,*,*,*,名,メイ,メイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
「	記号,括弧開,*,*,*,*,「,「,「
枡田	名詞,固有名詞,人名,姓,*,*,枡田,マスダ,マスダ
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
名乗る	動詞,自立,*,*,五段・ラ行,基本形,名乗る,ナノル,ナノル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思わ	動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
。	記号,句点,*,*,*,*,。,。,。
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ
と	助詞,副詞化,*,*,*,*,と,ト,ト
世	名詞,一般,*,*,*,*,世,ヨ,ヨ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
騒がす	動詞,自立,*,*,五段・サ行,基本形,騒がす,サワガス,サワガス
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
・	記号,一般,*,*,*,*,・,・,・
高岡智照	名詞,固有名詞,人名,一般,*,*,高岡智照,タカオカチショウ,タカオカチショー
（	記号,括弧開,*,*,*,*,（,（,（
たかお	名詞,固有名詞,人名,一般,*,*,たかお,タカオ,タカオ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
ち	動詞,自立,*,*,五段・ラ行,体言接続特殊２,ちる,チ,チ
しょう	名詞,一般,*,*,*,*,しょう,ショウ,ショー
）	記号,括弧閉,*,*,*,*,）,）,）
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
